Design,material,lubricant,z_sh,z_r2,x_s,x_r2,Cl,g_thickness_h,p1_offset,p2_offset,gear_ratio
10,ABS,LI,7,77,-0.3571436273409539,0.7603974444783945,0.0003,6,2,2,104.73239436619713
11,ABS,,8,76,-0.4012738699131408,0.0632328041829164,0.0003,6,2,-1,26.2815934065934
12,PLA,PTFE,6,76,0.3897189334019885,0.2523106536827981,7.012641362331293e-06,3,1,2,71.16949152542375
13,ABS,LI,9,76,0.7964911718196166,-0.1088977183680981,0.0003,6,1,2,38.92682926829268
14,ABS,LI,7,79,0.6511742681307773,-0.1666652670231254,0.0,3,0,0,53.880184331797246
15,PLA,LI,6,76,-0.648759778530783,0.4417264688653101,6.337799730449359e-05,3,2,1,63.66826923076922
16,PLA,LI,6,76,0.3317535647372638,0.5676595422250252,0.0003,6,2,1,56.743243243243256
17,PLA,LI,6,76,-0.8,0.7873808626897408,2.9785539851049562e-08,6,2,2,112.22881355932203
18,ABS,LI,6,76,0.2497179495430433,-0.25,5.055807329382603e-05,3,2,2,49.6923076923077
19,PLA,,6,76,0.0535138972193855,-0.0936612643859157,0.000163605768414,3,-1,2,118.32673267326724
20,PLA,LI,6,76,-0.2454848963926329,-0.1589515235069885,0.0001477505343876,5,2,1,49.6923076923077
21,PLA,LI,8,76,0.2100533864949597,-0.25,0.0002412116458525,5,2,2,34.91423357664234
22,PLA,LI,6,76,0.7513333052396776,0.1686268366222268,0.0002711304040058,3,-1,2,107.66666666666664
23,ABS,LI,6,76,0.1717992693185805,0.2620202915337711,0.0003,3,-1,2,118.32673267326724
24,PLA,LI,7,83,-0.387213498954821,0.1131717115583723,0.0003,3,2,1,135.85472154963685
25,PLA,LI,7,83,0.8,0.1350905913044673,0.0002642794974078,3,-1,-1,187.6521739130437
26,PLA,LI,6,76,0.47132766693830475,0.11475243754024332,0.0003,3,-1,2,107.66666666666663
27,PLA,LI,6,76,0.3791634321212553,0.1321363787579116,0.00027268375249613557,6,-1,-1,58.72727272727272